@RELATION PlaceNames

@ATTRIBUTE Gazetteer {TRUE, FALSE}
@ATTRIBUTE CapitalLetter {TRUE, FALSE}
@ATTRIBUTE Preposition {TRUE, FALSE}
@ATTRIBUTE FollowingWord {TRUE, FALSE}
@ATTRIBUTE Place {yes, no}

@DATA
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
TRUE,TRUE,TRUE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
TRUE,TRUE,TRUE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
TRUE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
FALSE,TRUE,FALSE,FALSE,isPlace
FALSE,FALSE,FALSE,FALSE,isPlace
