@RELATION PlaceNames

@ATTRIBUTE Gazetteer {TRUE, FALSE}
@ATTRIBUTE CapitalLetter {TRUE, FALSE}
@ATTRIBUTE Preposition {TRUE, FALSE}
@ATTRIBUTE FollowingWord {TRUE, FALSE}
@ATTRIBUTE Place {yes, no}

@DATA
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,TRUE,FALSE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,FALSE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,FALSE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
TRUE,TRUE,FALSE,FALSE,yes
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,TRUE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,FALSE,TRUE,FALSE,yes
FALSE,FALSE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
TRUE,TRUE,TRUE,FALSE,yes
FALSE,TRUE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
FALSE,FALSE,FALSE,FALSE,no
% 
% 
% 
